FALSE,🔗Dashboard,,,,MONTH:,1,
,🕑,Unplanned Expense,N/A,N/A,"€ 0,00","€ 0,00",
,🕑,Lost / Stolen,N/A,N/A,"€ 0,00","€ 0,00",
,,,N/A,N/A,"€ 0,00","€ 0,00",
,,,,,,,
,,,🔗Back to Top,,,,
,,,,,,,
,Savings & Investments Portfolio,,,,"€ 0,00",,
,,,,,,,
,Planner             ,,,,,,
,,,,,,,
,Class,,Allocation %,Cashflow €,Withdrawals/Sales €,Net Allocation €,
,🔗Savings,,"30,00%","€ 0,00","€ 0,00","€ 0,00",
,🔗Crypto,,"20,00%","€ 0,00","€ 0,00","€ 0,00",
,🔗Stocks,,"25,00%","€ 0,00","€ 0,00","€ 0,00",
,🔗Commodities,,,"€ 0,00","€ 0,00","€ 0,00",
,🔗Real Estate,,"25,00%","€ 0,00","€ 0,00","€ 0,00",
,🔗Other,,,"€ 0,00","€ 0,00","€ 0,00",
,,,"100,00%","€ 0,00","€ 0,00","€ 0,00",
,,,,,,,
,Savings & Reserves,,,,"€ 0,00",,
,,,,,,,
,,Savings Income,"€ 0,00",,,,
,,Savings Withdrawals,"€ 0,00",,,,
,,Savings Expenses,"€ 0,00",,,,
,,Savings Deposits,"€ 0,00",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Savings Income,,Date,Planned,Actual,Difference,
,#,Account,DD/MM/YYYY,"€ 0,00","€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Savings Withdrawals,,Date,Planned,Actual,Difference,
,#,Account,DD/MM/YYYY,"€ 0,00","€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Savings Expenses,,Date,Planned,Actual,Difference,
,#,Account,DD/MM/YYYY,"€ 0,00","€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Savings Deposits,,Planned %,Planned,Actual,Difference,
,#,Account,"0,00%","€ 0,00","€ 0,00","€ 0,00",
,,,,"€ 0,00","€ 0,00","€ 0,00",
,,,,"€ 0,00","€ 0,00","€ 0,00",
,,,,"€ 0,00","€ 0,00","€ 0,00",
,,,,,,,
,Crypto,,,,"€ 0,00",,
,,,,,,,
,,,,,,,
,,Crypto Income,"€ 0,00",,,,
,,Crypto Sales,"€ 0,00",,,,
,,Crypto Expenses,"€ 0,00",,,,
,,Crypto Allocations,"€ 0,00",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Crypto Income,,Date,Planned,Actual,Difference,
,#,Asset Name,DD/MM/YYYY,"€ 0,00","€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Crypto Sales,,Date,Planned,Actual,Difference,
,#,Asset Name,DD/MM/YYYY,"€ 0,00","€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Crypto Expenses,,Date,Planned,Actual,Difference,
,#,Asset Name,DD/MM/YYYY,"€ 0,00","€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Crypto Allocations,,Planned %,Planned,Actual,Difference,
,#,Asset Name,"0,00%","€ 0,00","€ 0,00","€ 0,00",
,,,,"€ 0,00","€ 0,00","€ 0,00",
,,,,"€ 0,00","€ 0,00","€ 0,00",
,,,,"€ 0,00","€ 0,00","€ 0,00",
,,,,,,,
,Stocks,,,,"€ 0,00",,
,,,,,,,
,,Stock Income,"€ 0,00",,,,
,,Stock Sales,"€ 0,00",,,,
,,Stock Expenses,"€ 0,00",,,,
,,Stock Allocations,"€ 0,00",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Stock Income,,Date,Planned,Actual,Difference,
,#,Asset Name,DD/MM/YYYY,"€ 0,00","€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Stock Sales,,Date,Planned,Actual,Difference,
,#,Asset Name,DD/MM/YYYY,"€ 0,00","€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Stock Expenses,,Date,Planned,Actual,Difference,
,#,Asset Name,DD/MM/YYYY,"€ 0,00","€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Stock Allocations,,Planned %,Planned,Actual,Difference,
,#,Asset Name,"0,00%","€ 0,00","€ 0,00","€ 0,00",
,,,,"€ 0,00","€ 0,00","€ 0,00",
,,,,"€ 0,00","€ 0,00","€ 0,00",
,,,,"€ 0,00","€ 0,00","€ 0,00",
,,,,,,,
,Commodities,,,,"€ 0,00",,
,,,,,,,
,,Commodity Income,"€ 0,00",,,,
,,Commodity Sales,"€ 0,00",,,,
,,Commodity Expenses,"€ 0,00",,,,
,,Commodity Allocations,"€ 0,00",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Commodity Income,,Date,Planned,Actual,Difference,
,#,Asset Name,DD/MM/YYYY,"€ 0,00","€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Commodity Sales,,Date,Planned,Actual,Difference,
,#,Asset Name,DD/MM/YYYY,"€ 0,00","€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Commodity Expenses,,Date,Planned,Actual,Difference,
,#,Asset Name,DD/MM/YYYY,"€ 0,00","€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Commodity Allocations,,Planned %,Planned,Actual,Difference,
,#,Asset Name,"0,00%","€ 0,00","€ 0,00","€ 0,00",
,,,,"€ 0,00","€ 0,00","€ 0,00",
,,,,"€ 0,00","€ 0,00","€ 0,00",
,,,,"€ 0,00","€ 0,00","€ 0,00",
,,,,,,,
,Real Estate,,,,"€ 0,00",,
,,,,,,,
,,Real Estate Income,"€ 0,00",,,,
,,Real Estate Sales,"€ 0,00",,,,
,,Real Estate Expenses,"€ 0,00",,,,
,,Real Estate Allocations,"€ 0,00",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Real Estate Income,,Date,Planned,Actual,Difference,
,#,Asset Name,DD/MM/YYYY,"€ 0,00","€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Real Estate Sales,,Date,Planned,Actual,Difference,
,#,Asset Name,DD/MM/YYYY,"€ 0,00","€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Real Estate Expenses,,Date,Planned,Actual,Difference,
,#,Asset Name,DD/MM/YYYY,"€ 0,00","€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Real Estate Allocations,,Planned %,Planned,Actual,Difference,
,#,Asset Name,"0,00%","€ 0,00","€ 0,00","€ 0,00",
,,,,"€ 0,00","€ 0,00","€ 0,00",
,,,,"€ 0,00","€ 0,00","€ 0,00",
,,,,"€ 0,00","€ 0,00","€ 0,00",
,,,,,,,
,Other Investments,,,,"€ 0,00",,
,,,,,,,
,,Other Investment Income,"0,00%",,,,
,,Other Investment Sales,"0,00%",,,,
,,Other Investment Expenses,"0,00%",,,,
,,Other Investment Allocations,"0,00%",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Other Investment Income,,Date,Planned,Actual,Difference,
,#,Asset Name,DD/MM/YYYY,"€ 0,00","€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Other Investment Sales,,Date,Planned,Actual,Difference,
,#,Asset Name,DD/MM/YYYY,"€ 0,00","€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Other Investment Expenses,,Date,Planned,Actual,Difference,
,#,Asset Name,DD/MM/YYYY,"€ 0,00","€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Other Investment Allocations,,Planned %,Planned,Actual,Difference,
,#,Asset Name,"0,00%","€ 0,00","€ 0,00","€ 0,00",
,,,,"€ 0,00","€ 0,00","€ 0,00",
,,,,"€ 0,00","€ 0,00","€ 0,00",
,,,,"€ 0,00","€ 0,00","€ 0,00",
,,,,,,,
,,,🔗Back to Top,,,,
,,,,,,,
,JANUARY 2023 TRANSACTIONS,,,,,,
,,,,,,,
,DATE,,TX TYPE,SOURCE,QNTY,AMT,
,,NO TRANSACTIONS,NO TRANSACTIONS,NO TRANSACTIONS,NO TRANSACTIONS,NO TRANSACTIONS,
